machine_no,island_id,side,position_order,x,y,rotation,slot_index,shape
685,E06,E,16,1230,754.5,0,15,rect
686,E06,E,15,1230,738.0,0,14,rect
687,E06,E,14,1230,721.5,0,13,rect
688,E06,E,13,1230,705.0,0,12,rect
689,E06,E,12,1230,688.5,0,11,rect
690,E06,E,11,1230,672.0,0,10,rect
691,E06,E,10,1230,655.5,0,9,rect
692,E06,E,9,1230,639.0,0,8,rect
693,E06,E,8,1230,622.5,0,7,rect
694,E06,E,7,1230,606.0,0,6,rect
695,E06,E,6,1230,589.5,0,5,rect
696,E06,E,5,1230,573.0,0,4,rect
697,E06,E,4,1230,556.5,0,3,rect
698,E06,E,3,1230,540.0,0,2,rect
699,E06,E,2,1230,523.5,0,1,rect
700,E06,E,1,1230,507.0,0,0,rect
701,E02,E,20,1230,384.8,0,19,rect
702,E02,E,19,1230,368.6,0,18,rect
703,E02,E,18,1230,352.4,0,17,rect
704,E02,E,17,1230,336.2,0,16,rect
705,E02,E,16,1230,320.0,0,15,rect
706,E02,E,15,1230,303.8,0,14,rect
707,E02,E,14,1230,287.6,0,13,rect
708,E02,E,13,1230,271.4,0,12,rect
709,E02,E,12,1230,255.2,0,11,rect
710,E02,E,11,1230,239.0,0,10,rect
711,E02,E,10,1230,222.8,0,9,rect
712,E02,E,9,1230,206.6,0,8,rect
713,E02,E,8,1230,190.4,0,7,rect
714,E02,E,7,1230,174.2,0,6,rect
715,E02,E,6,1230,158.0,0,5,rect
716,E02,E,5,1230,141.8,0,4,rect
717,E02,E,4,1230,125.6,0,3,rect
718,E02,E,3,1230,109.4,0,2,rect
719,E02,E,2,1230,93.2,0,1,rect
720,E02,E,1,1230,77.0,0,0,rect
721,C01,N,1,577,65,0,0,rect
722,C01,N,2,604,65,0,1,rect
723,C01,N,3,631,65,0,2,rect
724,C01,N,4,658,65,0,3,rect
725,C01,N,5,685,65,0,4,rect
726,C01,N,6,712,65,0,5,rect
727,C01,N,7,739,65,0,6,rect
728,C01,N,8,766,65,0,7,rect
729,C01,N,9,793,65,0,8,rect
730,C01,N,10,820,65,0,9,rect
731,C01,N,11,847,65,0,10,rect
732,C01,N,12,874,65,0,11,rect
733,C01,N,13,901,65,0,12,rect
734,C01,N,14,928,65,0,13,rect
735,C01,N,15,955,65,0,14,rect
736,C01,N,16,982,65,0,15,rect
737,E02,W,1,1203,77.0,0,0,rect
738,E02,W,2,1203,93.2,0,1,rect
739,E02,W,3,1203,109.4,0,2,rect
740,E02,W,4,1203,125.6,0,3,rect
741,E02,W,5,1203,141.8,0,4,rect
742,E02,W,6,1203,158.0,0,5,rect
743,E02,W,7,1203,174.2,0,6,rect
744,E02,W,8,1203,190.4,0,7,rect
745,E02,W,9,1203,206.6,0,8,rect
746,E02,W,10,1203,222.8,0,9,rect
747,E02,W,11,1203,239.0,0,10,rect
748,E02,W,12,1203,255.2,0,11,rect
749,E02,W,13,1203,271.4,0,12,rect
750,E02,W,14,1203,287.6,0,13,rect
751,E02,W,15,1203,303.8,0,14,rect
752,E02,W,16,1203,320.0,0,15,rect
753,E02,W,17,1203,336.2,0,16,rect
754,E02,W,18,1203,352.4,0,17,rect
755,E02,W,19,1203,368.6,0,18,rect
756,E02,W,20,1203,384.8,0,19,rect
757,E01,E,20,1094,384.8,0,19,rect
758,E01,E,19,1094,368.6,0,18,rect
759,E01,E,18,1094,352.4,0,17,rect
760,E01,E,17,1094,336.2,0,16,rect
761,E01,E,16,1094,320.0,0,15,rect
762,E01,E,15,1094,303.8,0,14,rect
763,E01,E,14,1094,287.6,0,13,rect
764,E01,E,13,1094,271.4,0,12,rect
765,E01,E,12,1094,255.2,0,11,rect
766,E01,E,11,1094,239.0,0,10,rect
767,E01,E,10,1094,222.8,0,9,rect
768,E01,E,9,1094,206.6,0,8,rect
769,E01,E,8,1094,190.4,0,7,rect
770,E01,E,7,1094,174.2,0,6,rect
771,E01,E,6,1094,158.0,0,5,rect
772,E01,E,5,1094,141.8,0,4,rect
773,E01,E,4,1094,125.6,0,3,rect
774,E01,E,3,1094,109.4,0,2,rect
775,E01,E,2,1094,93.2,0,1,rect
776,E01,E,1,1094,77.0,0,0,rect
777,E01,W,1,1067,77.0,0,0,rect
778,E01,W,2,1067,93.2,0,1,rect
779,E01,W,3,1067,109.4,0,2,rect
780,E01,W,4,1067,125.6,0,3,rect
781,E01,W,5,1067,141.8,0,4,rect
782,E01,W,6,1067,158.0,0,5,rect
783,E01,W,7,1067,174.2,0,6,rect
784,E01,W,8,1067,190.4,0,7,rect
785,E01,W,9,1067,206.6,0,8,rect
786,E01,W,10,1067,222.8,0,9,rect
787,E01,W,11,1067,239.0,0,10,rect
788,E01,W,12,1067,255.2,0,11,rect
789,E01,W,13,1067,271.4,0,12,rect
790,E01,W,14,1067,287.6,0,13,rect
791,E01,W,15,1067,303.8,0,14,rect
792,E01,W,16,1067,320.0,0,15,rect
793,E01,W,17,1067,336.2,0,16,rect
794,E01,W,18,1067,352.4,0,17,rect
795,E01,W,19,1067,368.6,0,18,rect
796,E01,W,20,1067,384.8,0,19,rect
797,C05,RING,1,724,362,-110.323,0,arc
798,C05,RING,2,704,374,-133.603,1,arc
799,C05,RING,3,691,392,-155.638,2,arc
800,C05,RING,4,687,413,-176.987,3,arc
801,C05,RING,5,689,433,162.824,4,arc
802,C05,RING,6,701,452,140.064,5,arc
803,C05,RING,7,716,466,119.249,6,arc
804,C05,RING,8,736,475,97.722,7,arc
805,C05,RING,9,757,474,77.367,8,arc
806,C05,RING,10,775,465,57.68,9,arc
807,C05,RING,11,791,451,36.674,10,arc
808,C05,RING,12,800,433,16.887,11,arc
809,C05,RING,13,802,411,-4.927,12,arc
810,C05,RING,14,795,392,-25.201,13,arc
811,C05,RING,15,782,374,-47.862,14,arc
812,C05,RING,16,764,362,-69.677,15,arc
813,C05,RING,17,744,359,-90.0,16,arc
814,C04,S,1,658,294,0,0,rect
815,C04,S,2,685,294,0,1,rect
816,C04,S,3,712,294,0,2,rect
817,C04,S,4,739,294,0,3,rect
818,C04,S,5,766,294,0,4,rect
819,C04,S,6,793,294,0,5,rect
820,C04,S,7,820,294,0,6,rect
821,C04,S,8,847,294,0,7,rect
822,C04,S,9,874,294,0,8,rect
823,C04,S,10,901,294,0,9,rect
824,C04,N,10,901,278,0,9,rect
825,C04,N,9,874,278,0,8,rect
826,C04,N,8,847,278,0,7,rect
827,C04,N,7,820,278,0,6,rect
828,C04,N,6,793,278,0,5,rect
829,C04,N,5,766,278,0,4,rect
830,C04,N,4,739,278,0,3,rect
831,C04,N,3,712,278,0,2,rect
832,C04,N,2,685,278,0,1,rect
833,C04,N,1,658,278,0,0,rect
834,C03,S,1,550,218,0,0,rect
835,C03,S,2,577,218,0,1,rect
836,C03,S,3,604,218,0,2,rect
837,C03,S,4,631,218,0,3,rect
838,C03,S,5,658,218,0,4,rect
839,C03,S,6,685,218,0,5,rect
840,C03,S,7,712,218,0,6,rect
841,C03,S,8,739,218,0,7,rect
842,C03,S,9,766,218,0,8,rect
843,C03,S,10,820,218,0,10,rect
844,C03,S,11,847,218,0,11,rect
845,C03,S,12,874,218,0,12,rect
846,C03,N,13,874,202,0,12,rect
847,C03,N,12,847,202,0,11,rect
848,C03,N,11,820,202,0,10,rect
849,C03,N,10,793,202,0,9,rect
850,C03,N,9,766,202,0,8,rect
851,C03,N,8,739,202,0,7,rect
852,C03,N,7,712,202,0,6,rect
853,C03,N,6,685,202,0,5,rect
854,C03,N,5,658,202,0,4,rect
855,C03,N,4,631,202,0,3,rect
856,C03,N,3,604,202,0,2,rect
857,C03,N,2,577,202,0,1,rect
858,C03,N,1,550,202,0,0,rect
859,C02,S,1,603,142,0,0,rect
860,C02,S,2,630,142,0,1,rect
861,C02,S,3,657,142,0,2,rect
862,C02,S,4,684,142,0,3,rect
863,C02,S,5,711,142,0,4,rect
864,C02,S,6,738,142,0,5,rect
865,C02,S,7,765,142,0,6,rect
866,C02,S,8,792,142,0,7,rect
867,C02,S,9,819,142,0,8,rect
868,C02,S,10,846,142,0,9,rect
869,C02,S,11,873,142,0,10,rect
870,C02,S,12,900,142,0,11,rect
871,C02,S,13,927,142,0,12,rect
872,C02,N,13,927,126,0,12,rect
873,C02,N,12,900,126,0,11,rect
874,C02,N,11,873,126,0,10,rect
875,C02,N,10,846,126,0,9,rect
876,C02,N,9,819,126,0,8,rect
877,C02,N,8,792,126,0,7,rect
878,C02,N,7,765,126,0,6,rect
879,C02,N,6,738,126,0,5,rect
880,C02,N,5,711,126,0,4,rect
881,C02,N,4,684,126,0,3,rect
882,C02,N,3,657,126,0,2,rect
883,C02,N,2,630,126,0,1,rect
884,C02,N,1,603,126,0,0,rect
885,W02,E,8,522,385.4,0,7,rect
886,W02,E,7,522,369.2,0,6,rect
887,W02,E,6,522,353.0,0,5,rect
888,W02,E,5,522,336.8,0,4,rect
889,W02,E,4,522,320.6,0,3,rect
890,W02,E,3,522,304.4,0,2,rect
891,W02,E,2,522,288.2,0,1,rect
892,W02,E,1,522,272.0,0,0,rect
893,W02,W,1,495,272.0,0,0,rect
894,W02,W,2,495,288.2,0,1,rect
895,W02,W,3,495,304.4,0,2,rect
896,W02,W,4,495,320.6,0,3,rect
897,W02,W,5,495,336.8,0,4,rect
898,W02,W,6,495,353.0,0,5,rect
899,W02,W,7,495,369.2,0,6,rect
900,W02,W,8,495,385.4,0,7,rect
901,W01,W,20,378,384.8,0,19,rect
902,W01,W,19,378,368.6,0,18,rect
903,W01,W,18,378,352.4,0,17,rect
904,W01,W,17,378,336.2,0,16,rect
905,W01,W,16,378,320.0,0,15,rect
906,W01,W,15,378,303.8,0,14,rect
907,W01,W,14,378,287.6,0,13,rect
908,W01,W,13,378,271.4,0,12,rect
909,W01,W,12,378,255.2,0,11,rect
910,W01,W,11,378,239.0,0,10,rect
911,W01,W,10,378,222.8,0,9,rect
912,W01,W,9,378,206.6,0,8,rect
913,W01,W,8,378,190.4,0,7,rect
914,W01,W,7,378,174.2,0,6,rect
915,W01,W,6,378,158.0,0,5,rect
916,W01,W,5,378,141.8,0,4,rect
917,W01,W,4,378,125.6,0,3,rect
918,W01,W,3,378,109.4,0,2,rect
919,W01,W,2,378,93.2,0,1,rect
920,W01,W,1,378,77.0,0,0,rect
921,E06,W,1,1203,507.0,0,0,rect
922,E06,W,2,1203,523.5,0,1,rect
923,E06,W,3,1203,540.0,0,2,rect
924,E06,W,4,1203,556.5,0,3,rect
925,E06,W,5,1203,573.0,0,4,rect
926,E06,W,6,1203,589.5,0,5,rect
927,E06,W,7,1203,606.0,0,6,rect
928,E06,W,8,1203,622.5,0,7,rect
929,E06,W,9,1203,639.0,0,8,rect
930,E06,W,10,1203,655.5,0,9,rect
931,E06,W,11,1203,672.0,0,10,rect
932,E06,W,12,1203,688.5,0,11,rect
933,E06,W,13,1203,705.0,0,12,rect
934,E06,W,14,1203,721.5,0,13,rect
935,E06,W,15,1203,738.0,0,14,rect
936,E06,W,16,1203,754.5,0,15,rect
937,E06,W,17,1203,771.0,0,16,rect
938,E06,W,18,1203,787.5,0,17,rect
939,E06,W,19,1203,804.0,0,18,rect
940,E06,W,20,1203,820.5,0,19,rect
941,E05,E,20,1094,820.5,0,19,rect
942,E05,E,19,1094,804.0,0,18,rect
943,E05,E,18,1094,787.5,0,17,rect
944,E05,E,17,1094,771.0,0,16,rect
945,E05,E,16,1094,754.5,0,15,rect
946,E05,E,15,1094,738.0,0,14,rect
947,E05,E,14,1094,721.5,0,13,rect
948,E05,E,13,1094,705.0,0,12,rect
949,E05,E,12,1094,688.5,0,11,rect
950,E05,E,11,1094,672.0,0,10,rect
951,E05,E,10,1094,655.5,0,9,rect
952,E05,E,9,1094,639.0,0,8,rect
953,E05,E,8,1094,622.5,0,7,rect
954,E05,E,7,1094,606.0,0,6,rect
955,E05,E,6,1094,589.5,0,5,rect
956,E05,E,5,1094,573.0,0,4,rect
957,E05,E,4,1094,556.5,0,3,rect
958,E05,E,3,1094,540.0,0,2,rect
959,E05,E,2,1094,523.5,0,1,rect
960,E05,E,1,1094,507.0,0,0,rect
961,E05,W,1,1067,507.0,0,0,rect
962,E05,W,2,1067,523.5,0,1,rect
963,E05,W,3,1067,540.0,0,2,rect
964,E05,W,4,1067,556.5,0,3,rect
965,E05,W,5,1067,573.0,0,4,rect
966,E05,W,6,1067,589.5,0,5,rect
967,E05,W,7,1067,606.0,0,6,rect
968,E05,W,8,1067,622.5,0,7,rect
969,E05,W,9,1067,639.0,0,8,rect
970,E05,W,10,1067,655.5,0,9,rect
971,E05,W,11,1067,672.0,0,10,rect
972,E05,W,12,1067,688.5,0,11,rect
973,E05,W,13,1067,705.0,0,12,rect
974,E05,W,14,1067,721.5,0,13,rect
975,E05,W,15,1067,738.0,0,14,rect
976,E05,W,16,1067,754.5,0,15,rect
977,E05,W,17,1067,771.0,0,16,rect
978,E05,W,18,1067,787.5,0,17,rect
979,E05,W,19,1067,804.0,0,18,rect
980,E05,W,20,1067,820.5,0,19,rect
981,C09,S,1,658,796,0,0,rect
982,C09,S,2,685,796,0,1,rect
983,C09,S,3,712,796,0,2,rect
984,C09,S,4,739,796,0,3,rect
985,C09,S,5,766,796,0,4,rect
986,C09,S,6,793,796,0,5,rect
987,C09,S,7,820,796,0,6,rect
988,C09,S,8,847,796,0,7,rect
989,C09,S,9,874,796,0,8,rect
990,C09,S,10,901,796,0,9,rect
991,C09,N,10,901,780,0,9,rect
992,C09,N,9,874,780,0,8,rect
993,C09,N,8,847,780,0,7,rect
994,C09,N,7,820,780,0,6,rect
995,C09,N,6,793,780,0,5,rect
996,C09,N,5,766,780,0,4,rect
997,C09,N,4,739,780,0,3,rect
998,C09,N,3,712,780,0,2,rect
999,C09,N,2,685,780,0,1,rect
1000,C09,N,1,658,780,0,0,rect
1001,C08,S,1,658,716,0,0,rect
1002,C08,S,2,685,716,0,1,rect
1003,C08,S,3,712,716,0,2,rect
1004,C08,S,4,739,716,0,3,rect
1005,C08,S,5,766,716,0,4,rect
1006,C08,S,6,793,716,0,5,rect
1007,C08,S,7,820,716,0,6,rect
1008,C08,S,8,847,716,0,7,rect
1009,C08,S,9,874,716,0,8,rect
1010,C08,S,10,901,716,0,9,rect
1011,C08,N,9,901,700,0,9,rect
1012,C08,N,8,874,700,0,8,rect
1013,C08,N,7,847,700,0,7,rect
1014,C08,N,6,820,700,0,6,rect
1015,C08,N,5,766,700,0,4,rect
1016,C08,N,4,739,700,0,3,rect
1017,C08,N,3,712,700,0,2,rect
1018,C08,N,2,685,700,0,1,rect
1019,C08,N,1,658,700,0,0,rect
1020,C07,E,8,875,633.4,0,7,rect
1021,C07,E,7,875,617.2,0,6,rect
1022,C07,E,6,875,601.0,0,5,rect
1023,C07,E,5,875,584.8,0,4,rect
1024,C07,E,4,875,568.6,0,3,rect
1025,C07,E,3,875,552.4,0,2,rect
1026,C07,E,2,875,536.2,0,1,rect
1027,C07,E,1,875,520.0,0,0,rect
1028,C07,W,1,848,520.0,0,0,rect
1029,C07,W,2,848,536.2,0,1,rect
1030,C07,W,3,848,552.4,0,2,rect
1031,C07,W,4,848,568.6,0,3,rect
1032,C07,W,5,848,584.8,0,4,rect
1033,C07,W,6,848,601.0,0,5,rect
1034,C07,W,7,848,617.2,0,6,rect
1035,C07,W,8,848,633.4,0,7,rect
1036,C06,E,8,681,633.4,0,7,rect
1037,C06,E,7,681,617.2,0,6,rect
1038,C06,E,6,681,601.0,0,5,rect
1039,C06,E,5,681,584.8,0,4,rect
1040,C06,E,4,681,568.6,0,3,rect
1041,C06,E,3,681,552.4,0,2,rect
1042,C06,E,2,681,536.2,0,1,rect
1043,C06,E,1,681,520.0,0,0,rect
1044,C06,W,1,654,520.0,0,0,rect
1045,C06,W,2,654,536.2,0,1,rect
1046,C06,W,3,654,552.4,0,2,rect
1047,C06,W,4,654,568.6,0,3,rect
1048,C06,W,5,654,584.8,0,4,rect
1049,C06,W,6,654,601.0,0,5,rect
1050,C06,W,7,654,617.2,0,6,rect
1051,C06,W,8,654,633.4,0,7,rect
1052,W04,E,20,522,820.5,0,19,rect
1053,W04,E,19,522,804.0,0,18,rect
1054,W04,E,18,522,787.5,0,17,rect
1055,W04,E,17,522,771.0,0,16,rect
1056,W04,E,16,522,754.5,0,15,rect
1057,W04,E,15,522,738.0,0,14,rect
1058,W04,E,14,522,721.5,0,13,rect
1059,W04,E,13,522,705.0,0,12,rect
1060,W04,E,12,522,688.5,0,11,rect
1061,W04,E,11,522,672.0,0,10,rect
1062,W04,E,10,522,655.5,0,9,rect
1063,W04,E,9,522,639.0,0,8,rect
1064,W04,E,8,522,622.5,0,7,rect
1065,W04,E,7,522,606.0,0,6,rect
1066,W04,E,6,522,589.5,0,5,rect
1067,W04,E,5,522,573.0,0,4,rect
1068,W04,E,4,522,556.5,0,3,rect
1069,W04,E,3,522,540.0,0,2,rect
1070,W04,E,2,522,523.5,0,1,rect
1071,W04,E,1,522,507.0,0,0,rect
1072,W04,W,1,495,507.0,0,0,rect
1073,W04,W,2,495,523.5,0,1,rect
1074,W04,W,3,495,540.0,0,2,rect
1075,W04,W,4,495,556.5,0,3,rect
1076,W04,W,5,495,573.0,0,4,rect
1077,W04,W,6,495,589.5,0,5,rect
1078,W04,W,7,495,606.0,0,6,rect
1079,W04,W,8,495,622.5,0,7,rect
1080,W04,W,9,495,639.0,0,8,rect
1081,W04,W,10,495,655.5,0,9,rect
1082,W04,W,11,495,672.0,0,10,rect
1083,W04,W,12,495,688.5,0,11,rect
1084,W04,W,13,495,705.0,0,12,rect
1085,W04,W,14,495,721.5,0,13,rect
1086,W04,W,15,495,738.0,0,14,rect
1087,W04,W,16,495,754.5,0,15,rect
1088,W04,W,17,495,771.0,0,16,rect
1089,W04,W,18,495,787.5,0,17,rect
1090,W04,W,19,495,804.0,0,18,rect
1091,W04,W,20,495,820.5,0,19,rect
1092,W03,W,20,378,820.5,0,19,rect
1093,W03,W,19,378,804.0,0,18,rect
1094,W03,W,18,378,787.5,0,17,rect
1095,W03,W,17,378,771.0,0,16,rect
1096,W03,W,16,378,754.5,0,15,rect
1097,W03,W,15,378,738.0,0,14,rect
1098,W03,W,14,378,721.5,0,13,rect
1099,W03,W,13,378,705.0,0,12,rect
1100,W03,W,12,378,688.5,0,11,rect
1101,W03,W,11,378,672.0,0,10,rect
1102,W03,W,10,378,655.5,0,9,rect
1103,W03,W,9,378,639.0,0,8,rect
1104,W03,W,8,378,622.5,0,7,rect
1105,W03,W,7,378,606.0,0,6,rect
1106,W03,W,6,378,589.5,0,5,rect
1107,W03,W,5,378,573.0,0,4,rect
1108,W03,W,4,378,556.5,0,3,rect
1109,W03,W,3,378,540.0,0,2,rect
1110,W03,W,2,378,523.5,0,1,rect
1111,W03,W,1,378,507.0,0,0,rect
1112,W02,E,9,522,401.6,0,8,rect
1113,W02,W,9,495,401.6,0,8,rect
1114,W01,W,21,378,401.0,0,20,rect
